game_name,target_value,methods_detected,all_reviews_number,price,rating,developer,methods_count,methods_list
Call of Duty®: Warzone™,31,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",44778,0.0,2.88,Infinity Ward,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Call of Duty®: Modern Warfare® II,23,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",7162,69.99,4.06,Infinity Ward,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Call of Duty®: Modern Warfare® III,32,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",11959,69.99,3.3,Sledgehammer Games,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Overwatch® 2,23,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",342619,0.0,2.82,"Blizzard Entertainment, Inc.",4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
MOBILE SUIT GUNDAM BATTLE OPERATION 2,21,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",19982,0.0,3.53,Bandai Namco Forge Digitals Inc.,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Infinity Nikki,37,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",5250,0.0,3.58,Infold Games,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Erzurum,41,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",4029,0.89,1.1,Proximity Games,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Test Drive Unlimited Solar Crown,36,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",4821,24.99,2.17,KT Racing,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Tom Clancy's Splinter Cell Double Agent®,35,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",1570,7.99,3.71,Ubisoft Montreal,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Youtubers Life 3 - Stream Together!,43,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",244,10.49,1.6,UPLAY Online,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
iBLiS,43,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",558,1.0,0.99,Bulut ULU,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Cinemaster Cinema Simulator,39,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",102,3.49,0.67,Overload Games,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
SKYHILL: Black Mist,43,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",176,10.49,0.83,Mandragora,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Only Up !,24,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",138,3.99,0.42,WGI GAMING,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Moviehouse – The Film Studio Tycoon,31,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",212,6.29,0.66,Odyssey Studios,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Drunk or Dead 2,30,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",10,5.79,0.7,4 I Lab,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
Dead Horde,37,"['IQR', 'ZScore', 'Modified_ZScore', 'Isolation_Forest']",432,2.49,1.08,DnS Development,4,"IQR, ZScore, Modified_ZScore, Isolation_Forest"
